1,SUMATERA UTARA,KOTA MEDAN,Kec. Medan Kota,Kel. Pasar Merah Barat,20217,20217,20000,
1,SUMATERA UTARA,KOTA MEDAN,Kec. Medan Kota,Kel. Sudirejo 1,20218,20218,20000,
1,SUMATERA UTARA,KOTA MEDAN,Kec. Medan Kota,Kel. Sitirejo I,20219,20219,20000,
1,SUMATERA UTARA,KOTA MEDAN,Kec. Medan Tembung,Kel. Indra Kasih,20221,20221,20000,
1,SUMATERA UTARA,KOTA MEDAN,Kec. Medan Tembung,Kel. Sidorejo,20222,20222,20000,
1,SUMATERA UTARA,KOTA MEDAN,Kec. Medan Tembung,Kel. Bandar Selamat,20223,20223,20000,
1,SUMATERA UTARA,KOTA MEDAN,Kec. Medan Tembung,Kel. Bantan,20224,20224,20000,
1,SUMATERA UTARA,KOTA MEDAN,Kec. Medan Tembung,Kel. Tembung,20225,20225,20000,
1,SUMATERA UTARA,KOTA MEDAN,Kec. Medan Denai,Kel. Tegalsari Mandala I,20226,20226,20000,
1,SUMATERA UTARA,KOTA MEDAN,Kec. Medan Denai,Kel. Denai,20227,20227,20000,
1,SUMATERA UTARA,KOTA MEDAN,Kec. Medan Denai,Kel. Binjai,20228,20228,20000,
1,SUMATERA UTARA,KOTA MEDAN,Kec. Medan Timur,Kel. Gang Buntu,20231,20231,20000,
1,SUMATERA UTARA,KOTA MEDAN,Kec. Medan Timur,Kel. Pandau Hilir,20232,20232,20000,
1,SUMATERA UTARA,KOTA MEDAN,Kec. Medan Timur,Kel. Pahlawan,20233,20233,20000,
1,SUMATERA UTARA,KOTA MEDAN,Kec. Medan Timur,Kel. Sidodadi,20234,20234,20000,
1,SUMATERA UTARA,KOTA MEDAN,Kec. Medan Timur,Kel. Gaharu,20235,20235,20000,
1,SUMATERA UTARA,KOTA MEDAN,Kec. Medan Timur,Kel. Sidorame Timur,20236,20236,20000,
1,SUMATERA UTARA,KOTA MEDAN,Kec. Medan Timur,Kel. Tegalrejo,20237,20237,20000,
1,SUMATERA UTARA,KOTA MEDAN,Kec. Medan Timur,Kel. Glugur Darat I,20238,20238,20000,
1,SUMATERA UTARA,KOTA MEDAN,Kec. Medan Timur,Kel. Pulau Berayan Bengkel,20239,20239,20000,
1,SUMATERA UTARA,KOTA MEDAN,Kec. Medan Deli,Kel. Tanjung Mulia Hilir,20241,20241,20000,
1,SUMATERA UTARA,KOTA MEDAN,Kec. Medan Deli,Kel. Mabar,20242,20242,20000,
1,SUMATERA UTARA,KOTA MEDAN,Kec. Medan Deli,Kel. Kota Bangun,20243,20243,20000,
1,SUMATERA UTARA,KOTA MEDAN,Kec. Medan Deli,Kel. Titipapan,20244,20244,20000,
1,SUMATERA UTARA,KOTA MEDAN,Kec. Medan Marelan,Kel. Tanah Enam Ratus,20245,20245,20254,
1,SUMATERA UTARA,KOTA MEDAN,Kec. Medan Amplas,Kel. Sitirejo II,20219,20249,20000,
1,SUMATERA UTARA,KOTA MEDAN,Kec. Medan Amplas,Kel. Amplas,20229,20249,20000,
1,SUMATERA UTARA,KOTA MEDAN,Kec. Medan Labuhan,Kel. Besar,20251,20251,20000,
1,SUMATERA UTARA,KOTA MEDAN,Kec. Medan Labuhan,Kel. Martubung,20252,20252,20000,
1,SUMATERA UTARA,KOTA MEDAN,Kec. Medan Labuhan,Kel. Pekan Labuhan,20253,20253,20000,
1,SUMATERA UTARA,KOTA MEDAN,Kec. Medan Marelan,Kel. Labuhan Deli,20254,20254,20254,
1,SUMATERA UTARA,KOTA MEDAN,Kec. Medan Marelan,Kel. Rengas Pulau,20255,20255,20254,
1,SUMATERA UTARA,KOTA MEDAN,Kec. Medan Marelan,Kel. Terjun,20256,20256,20254,
1,SUMATERA UTARA,KOTA MEDAN,Kec. Medan Marelan,Kel. Paya Pasir,20256,20257,20254,
1,SUMATERA UTARA,KOTA MEDAN,Kec. Medan Labuhan,Kel. Nelayan Indah,20253,20258,20000,
1,SUMATERA UTARA,KOTA MEDAN,Kec. Medan Labuhan,Kel. Tangkahan,20253,20259,20000,
1,SUMATERA UTARA,KAB. DELI SERDANG,Kec. Sunggal,Seluruh Kelurahan/Desa,20352,20352,20351,
1,SUMATERA UTARA,KAB. DELI SERDANG,Kec. Pancur Batu,Seluruh Kelurahan/Desa,20353,20353,20353,
1,SUMATERA UTARA,KAB. DELI SERDANG,Kec. Kutalimbaru,Seluruh Kelurahan/Desa,20354,20354,20353,
1,SUMATERA UTARA,KAB. DELI SERDANG,Kec. Deli Tua,Seluruh Kelurahan/Desa,20355,20355,20355,
1,SUMATERA UTARA,KAB. DELI SERDANG,Kec. Namorambe,Seluruh Kelurahan/Desa,20356,20356,20356,
1,SUMATERA UTARA,KAB. DELI SERDANG,Kec. Sibolangit,Seluruh Kelurahan/Desa,20357,20357,20357,
1,SUMATERA UTARA,KAB. DELI SERDANG,Kec. Sibiru-biru,Seluruh Kelurahan/Desa,20358,20358,20355,
1,SUMATERA UTARA,KAB. DELI SERDANG,Kec. Patumbak,Seluruh Kelurahan/Desa,20361,20361,20362,
1,SUMATERA UTARA,KAB. DELI SERDANG,Kec. Tanjung  Morawa ,Seluruh Kelurahan/Desa,20362,20362,20362,
1,SUMATERA UTARA,KAB. DELI SERDANG,Kec. Sinembah Tanjung Muda Hilir,Seluruh Kelurahan/Desa,20363,20363,20355,
1,SUMATERA UTARA,KAB. DELI SERDANG,Kec. Percut Sei Tuan,Seluruh Kelurahan/Desa,20371,20371,20371,
1,SUMATERA UTARA,KAB. DELI SERDANG,Kec. Batang Kuis,Seluruh Kelurahan/Desa,20372,20372,20372,
1,SUMATERA UTARA,KAB. DELI SERDANG,Kec. Labuhan Deli,Seluruh Kelurahan/Desa,20373,20373,20254,
1,SUMATERA UTARA,KAB. DELI SERDANG,Kec. Hamparan Perak,Seluruh Kelurahan/Desa,20374,20374,20254,
1,SUMATERA UTARA,KOTA MEDAN,Kec. Medan Belawan,Kel. Belawan I,20411,20411,20411,
1,SUMATERA UTARA,KOTA MEDAN,Kec. Medan Belawan,Kel. Belawan II,20412,20412,20411,
1,SUMATERA UTARA,KOTA MEDAN,Kec. Medan Belawan,Kel. Bagan Deli,20413,20413,20411,
1,SUMATERA UTARA,KOTA MEDAN,Kec. Medan Belawan,Kel. Belawan Bahari,20414,20414,20411,
